eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
554,Dstarl,Had,NoTau,NoTau
555,Had,Dstarl,NoTau,NoTau
556,Had,Dstarstar_res,NoTau,NoTau
557,Dl,Dstarl,NoTau,NoTau
558,Dstarstar_nonres,Had,NoTau,NoTau
559,Dstarstar_res,Had,NoTau,NoTau
560,Had,Dstarl,NoTau,NoTau
561,Dstarstar_res,Had,NoTau,NoTau
562,Had,Dstarl,NoTau,NoTau
563,Had,Dl,NoTau,NoTau
564,Dstarl,Dstarl,NoTau,NoTau
565,Dstarl,Had,NoTau,NoTau
566,Dstartau,Dstarl,tau_mu,NoTau
567,Had,Had,NoTau,NoTau
568,Dstarl,Dl,NoTau,NoTau
569,Dl,Had,NoTau,NoTau
570,Had,Had,NoTau,NoTau
571,Dstarl,Dstarl,NoTau,NoTau
572,Dstarl,Dl,NoTau,NoTau
573,Dstarl,Had,NoTau,NoTau
574,Had,Had,NoTau,NoTau
575,Had,Dstarl,NoTau,NoTau
576,Dstarstar_res,Had,NoTau,NoTau
577,Dstarstar_nonres,Dstarl,NoTau,NoTau
578,Had,Dstarl,NoTau,NoTau
579,Dstarl,Had,NoTau,NoTau
580,Dstarl,Dstarl,NoTau,NoTau
581,Dstarl,Dstarl,NoTau,NoTau
582,Dstarl,Dstarl,NoTau,NoTau
583,Dstarstar_res,Dstarl,NoTau,NoTau
584,Had,Dl,NoTau,NoTau
585,Had,Dtau,NoTau,tau_h
586,Dstarl,Dl,NoTau,NoTau
587,Had,Dstartau,NoTau,tau_e
588,Dl,Had,NoTau,NoTau
589,Dstarstar_res,Had,NoTau,NoTau
590,Had,Dl,NoTau,NoTau
591,Dstarl,Dstarstar_res,NoTau,NoTau
592,Had,Had,NoTau,NoTau
593,Dstarl,Had,NoTau,NoTau
594,Had,Dl,NoTau,NoTau
595,Dl,Dstarl,NoTau,NoTau
596,Dstarstar_nonres,Had,NoTau,NoTau
597,Had,Had,NoTau,NoTau
598,Dstarstar_res,Had,NoTau,NoTau
599,Dl,Dstartau,NoTau,tau_e
600,Had,Dstarl,NoTau,NoTau
601,Had,Dstarstar_res,NoTau,NoTau
602,Dstarl,Had,NoTau,NoTau
603,Had,Dl,NoTau,NoTau
604,Dstartau,Dl,tau_mu,NoTau
605,Dstarstar_res,Had,tau_h,NoTau
606,Had,Dstarl,NoTau,NoTau
607,Dstarstar_nonres,Dstarstar_res,NoTau,NoTau
608,Dl,Dstarl,NoTau,NoTau
609,Dl,Dstarstar_res,NoTau,NoTau
610,Dstarstar_res,Had,NoTau,NoTau
611,Had,Dstarl,NoTau,NoTau
